iter	Logloss
0	0.6090291035
1	0.5190284194
2	0.4552390617
3	0.4117103962
4	0.380971624
5	0.3568183163
6	0.340106447
7	0.3264315446
8	0.3127890038
9	0.2999249861
10	0.2924823183
11	0.2827142416
12	0.275170873
13	0.2678084041
14	0.262382191
15	0.2558423222
16	0.2519481338
17	0.2481126121
18	0.2441182473
19	0.2404845971
20	0.2372465181
21	0.2348731634
22	0.2314661711
23	0.2266230458
24	0.2245340396
25	0.2221890872
26	0.2200883838
27	0.217266016
28	0.2146127604
29	0.2109045339
30	0.209111537
31	0.2049847427
32	0.2029044686
33	0.2004779613
34	0.1992161291
35	0.196828293
36	0.1941044204
37	0.1923731638
38	0.1895507599
39	0.1862674469
40	0.1838665758
41	0.1823703658
42	0.1806768042
43	0.1783012077
44	0.1765527578
45	0.1727915956
46	0.1709751502
47	0.1683853523
48	0.1676432044
49	0.1660464022
50	0.1646333019
51	0.1628021401
52	0.1613158375
53	0.1596049018
54	0.1581619348
55	0.1547677607
56	0.1537984848
57	0.1525241056
58	0.1501240842
59	0.149254352
60	0.1482135551
61	0.1469843466
62	0.145481375
63	0.1441441619
64	0.1421872598
65	0.1403466064
66	0.1388074766
67	0.1367170602
68	0.1356968011
69	0.1342618071
70	0.1327999655
71	0.130781965
72	0.1302324049
73	0.1288184007
74	0.128141428
75	0.1269670626
76	0.1266072519
77	0.1246641803
78	0.1235171867
79	0.1225941571
80	0.121080546
81	0.1203979055
82	0.1197141713
83	0.1187484389
84	0.1179982457
85	0.1168088294
86	0.115368493
87	0.1144292284
88	0.1130178728
89	0.1123179396
90	0.1110243333
91	0.109961046
92	0.1083012742
93	0.107106172
94	0.1059903468
95	0.1046632308
96	0.1037833019
97	0.1023961362
98	0.1016069735
99	0.1002348948
100	0.09910460623
101	0.09823789317
102	0.09785174123
103	0.09687786418
104	0.09640787936
105	0.09534479993
106	0.09502381418
107	0.09435470592
108	0.09398506925
109	0.0931893981
110	0.09288573215
111	0.0925177226
112	0.0918888223
113	0.09107592175
114	0.08996416429
115	0.08907638906
116	0.08841688985
117	0.08731037533
118	0.08601512384
119	0.08574296075
120	0.08508396775
121	0.08470926893
122	0.08429632373
123	0.08391460118
124	0.08308032206
125	0.08281674656
126	0.08201201777
127	0.08127071054
128	0.08053423947
129	0.08000029071
130	0.07956176356
131	0.0791015053
132	0.07839321054
133	0.07760826031
134	0.07713041106
135	0.07647334349
136	0.0762309748
137	0.0755670914
138	0.07482281919
139	0.07421676186
140	0.07353092137
141	0.07283887974
142	0.07159997635
143	0.0712332233
144	0.07070900111
145	0.06997017976
146	0.0693715665
147	0.0691642487
148	0.0688516833
149	0.06817261796
150	0.0679143532
151	0.06748057182
152	0.06707182097
153	0.06655054568
154	0.06598891779
155	0.06554694656
156	0.06523556986
157	0.06458656558
158	0.06428026911
159	0.06353154944
160	0.0631326698
161	0.06291356893
162	0.06206141409
163	0.06167081468
164	0.06128760511
165	0.06098540357
166	0.06074224843
167	0.06045166724
168	0.0602262432
169	0.06003042825
170	0.05987024723
171	0.0594827484
172	0.05908244502
173	0.05888213288
174	0.05853363975
175	0.05796128642
176	0.05767988942
177	0.05719877238
178	0.05673980225
179	0.05649685503
180	0.05622345804
181	0.05576286532
182	0.05526425672
183	0.05505147451
184	0.05479724591
185	0.0544944794
186	0.05407433871
187	0.05385888982
188	0.05364604885
189	0.05339922817
190	0.05293034165
191	0.0524301195
192	0.05194853691
193	0.05151533406
194	0.05122120484
195	0.05089485411
196	0.05039013929
197	0.05006490043
198	0.04974899491
199	0.04930514797
